2023-12-28 00:21:48.643 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 82791
2023-12-28 00:21:48.642 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 82791
2023-12-28 00:21:48.648 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 137828
2023-12-28 00:21:48.648 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 137827
2023-12-28 00:30:10.537 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 409662
2023-12-28 00:30:10.541 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 409666
2023-12-28 00:30:10.547 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 409672
2023-12-28 00:30:10.552 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 421771
2023-12-28 00:31:21.617 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 67101
2023-12-28 00:47:04.100 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 920229
